distance_km,duration_min,vehicle_type,fare
36.47,132.64,auto,666.81
18.12,40.2,auto,290.39
21.69,86.33,auto,420.72
20.64,61.0,auto,364.91
39.73,135.86,bike,542.38
25.01,85.82,car,689.1
32.7,120.73,car,907.17
31.58,98.39,auto,540.3
24.81,49.82,bike,294.86
30.7,76.64,bike,387.53
36.28,99.75,auto,601.96
34.25,129.22,bike,484.89
24.57,96.46,auto,466.08
10.67,22.8,auto,191.9
18.32,54.34,bike,249.67
20.75,55.94,car,535.37
35.93,137.09,bike,512.38
24.13,72.47,bike,328.0
10.94,25.61,bike,149.28
44.37,111.62,auto,700.76
37.61,126.84,auto,656.59
35.96,136.8,bike,512.21
29.98,97.7,auto,527.63
47.17,165.25,bike,641.42
20.01,74.28,auto,382.39
10.58,24.87,car,283.65
14.63,32.18,bike,181.1
6.46,14.37,bike,89.72
2.21,8.04,car,110.07
10.39,37.24,auto,210.31
10.43,36.67,bike,162.78
41.22,126.01,auto,690.37
6.52,13.82,auto,129.85
2.17,7.46,auto,67.61
35.75,131.82,auto,647.01
8.47,23.81,auto,161.98
19.89,66.54,bike,277.48
16.45,37.48,bike,207.18
26.65,71.4,bike,344.58
10.53,26.36,car,285.6
19.92,47.49,car,493.17
29.22,71.78,car,705.21
28.24,109.17,auto,530.82
8.03,16.91,car,230.73
24.43,87.58,bike,356.55
31.95,85.95,bike,401.8
38.69,94.18,auto,614.24
30.28,102.18,bike,410.61
33.17,98.7,auto,567.89
19.46,41.91,car,470.19
14.3,46.23,bike,204.78
18.87,43.78,auto,311.63
1.43,2.88,auto,57.24
16.34,59.55,car,476.03
34.17,100.03,car,870.6
20.05,72.18,car,562.63
16.74,57.92,auto,322.14
35.51,126.4,car,959.63
46.82,153.48,auto,805.66
9.23,29.71,car,283.61
30.45,115.96,car,855.23
38.44,145.22,auto,700.11
27.9,63.07,car,656.87
28.29,74.16,bike,358.0
18.75,64.76,car,522.73
27.94,80.34,bike,369.06
6.9,18.15,bike,107.26
7.28,28.99,auto,164.97
36.09,98.29,car,885.97
23.7,64.92,auto,392.89
12.43,28.36,auto,219.77
28.71,73.15,car,703.06
9.05,23.45,auto,177.19
3.95,14.19,auto,102.88
1.62,5.51,auto,56.73
47.19,112.82,bike,573.9
13.56,44.11,bike,197.31
38.07,120.3,car,987.26
21.63,84.07,bike,318.89
6.19,23.2,car,212.98
31.12,76.73,car,756.8
13.87,49.86,auto,275.82
28.5,105.01,car,788.35
47.08,178.17,bike,667.7
37.86,102.55,car,928.63
47.71,174.99,bike,668.94
17.63,37.82,bike,221.81
27.21,75.8,auto,460.38
15.5,52.18,bike,231.99
4.33,16.3,bike,82.97
5.88,14.13,auto,116.12
33.38,69.12,auto,500.11
22.0,68.22,bike,301.06
16.12,38.57,auto,267.94
48.96,118.08,auto,752.59
33.56,113.78,car,901.01
28.14,77.8,bike,358.47
46.18,176.49,bike,662.98
47.63,114.62,bike,573.58
46.78,96.01,bike,541.87
36.02,134.18,auto,655.92
3.12,7.7,auto,75.2
24.04,74.71,bike,329.96
18.22,53.23,auto,325.35
44.94,93.0,car,1011.82
1.54,4.31,car,82.45
19.45,61.62,bike,272.93
27.12,106.15,car,770.6
9.33,23.6,bike,131.68
14.79,51.66,car,424.03
33.59,96.14,auto,563.33
49.71,179.96,bike,687.7
47.08,183.66,car,1303.5
34.7,89.45,bike,431.15
42.83,90.5,bike,500.44
7.05,25.32,bike,113.92
29.51,116.79,auto,559.8
23.63,79.43,auto,430.3
16.95,60.69,bike,254.82
31.02,79.3,auto,495.98
43.59,154.33,auto,783.84
4.94,15.86,car,179.6
35.61,85.26,bike,441.67
6.51,15.65,auto,135.49
33.26,90.94,bike,421.55
25.36,84.66,car,686.49
2.62,5.8,bike,49.01
21.46,84.91,auto,423.85
36.48,110.05,bike,485.04
5.51,20.68,car,194.62
36.48,117.0,auto,636.94
17.53,55.37,car,479.17
6.49,19.05,bike,110.17
24.04,72.02,bike,321.79
17.77,36.63,bike,226.13
25.76,53.57,bike,306.67
12.26,43.95,car,374.32
12.73,47.44,bike,199.79
37.92,111.62,auto,641.35
49.09,128.39,bike,601.56
14.77,35.62,bike,196.84
16.93,38.83,bike,220.46
48.4,175.89,car,1300.64
45.89,136.8,car,1150.11
8.55,33.27,car,281.14
25.96,79.88,bike,356.7
7.66,20.75,car,232.17
34.82,129.7,auto,640.11
32.92,66.29,auto,493.39
33.64,99.53,car,854.56
19.43,67.92,auto,355.18
29.79,64.39,auto,464.0
43.87,105.52,car,1020.52
20.68,43.75,car,487.19
37.73,113.34,car,953.93
30.98,95.79,auto,540.21
40.76,105.71,car,982.8
41.42,113.86,car,1011.01
9.75,26.64,auto,187.95
25.01,73.66,bike,330.91
26.01,61.02,auto,413.88
36.56,84.34,car,850.24
24.12,58.98,bike,307.44
30.54,111.14,car,839.9
34.41,118.49,bike,478.72
32.19,73.18,auto,506.2
23.59,75.57,car,636.36
21.3,77.91,bike,305.34
47.5,123.05,bike,589.36
5.4,13.58,car,177.37
35.68,141.24,bike,513.53
17.51,62.67,bike,254.03
34.82,90.76,bike,434.23
13.54,42.79,car,387.96
8.26,23.03,auto,167.0
1.35,4.32,bike,47.18
10.34,27.68,auto,190.19
17.04,55.36,bike,246.88
20.69,60.98,bike,272.16
46.48,148.24,bike,614.95
16.8,57.61,bike,241.94
8.22,32.6,auto,180.04
33.21,111.77,car,886.84
37.92,96.58,car,908.07
2.33,6.36,auto,64.49
16.29,43.66,bike,221.02
7.32,19.22,car,221.41
36.17,96.52,bike,456.43
34.3,127.71,auto,637.24
28.37,81.97,auto,476.85
13.68,30.79,bike,180.35
30.18,82.52,bike,392.96
35.77,129.26,car,971.26
11.26,33.66,car,325.28
44.2,110.7,car,1044.45
49.37,149.38,car,1247.08
6.29,14.88,bike,99.4
42.73,136.61,bike,574.79
2.3,8.37,car,117.03
7.4,28.41,auto,159.01
25.87,81.32,car,690.67
3.78,10.47,car,136.67
26.19,79.53,bike,347.96
41.97,95.19,bike,503.69
48.54,142.98,auto,802.9
31.24,98.76,bike,426.44
34.85,107.15,car,895.05
23.75,53.06,bike,284.69
25.35,62.32,auto,417.65
18.01,64.37,car,522.09
5.6,17.36,car,193.37
22.95,83.21,bike,335.06
29.84,77.32,bike,373.69
6.71,14.78,car,202.85
46.63,113.43,auto,729.6
15.87,35.12,auto,258.91
5.42,13.25,bike,81.61
19.25,57.54,auto,337.2
8.35,29.22,car,260.02
46.8,175.62,bike,658.3
43.57,158.95,bike,605.03
45.68,148.8,auto,794.26
44.91,144.21,auto,767.73
19.39,42.28,bike,242.89
18.57,52.11,bike,244.37
45.56,145.49,car,1179.65
49.84,119.39,bike,603.02
3.08,6.73,car,123.77
36.4,141.61,bike,523.93
2.14,8.08,bike,48.74
19.78,54.08,auto,334.93
42.37,139.72,bike,565.97
1.79,4.0,auto,58.54
27.35,85.69,auto,484.32
47.77,115.94,car,1112.38
34.91,122.09,car,938.05
12.23,28.87,bike,159.64
25.62,69.23,car,646.99
10.83,37.37,auto,208.92
42.05,132.1,bike,556.15
8.43,19.85,car,232.05
19.91,56.17,bike,271.83
7.7,25.24,bike,128.47
46.17,131.82,auto,756.04
13.04,41.58,bike,193.62
18.87,40.34,bike,227.64
25.75,67.47,auto,426.85
47.7,174.72,car,1295.33
37.53,129.25,car,996.8
15.62,55.25,auto,303.2
40.67,144.1,bike,571.07
45.28,116.54,car,1086.91
3.01,10.0,bike,66.02
27.29,73.71,auto,447.97
6.92,14.37,car,192.23
5.21,10.45,bike,80.92
19.09,47.02,auto,323.23
25.4,100.59,car,737.89
40.58,129.26,auto,691.08
4.93,10.48,car,157.82
10.5,33.34,auto,196.93
42.58,164.45,auto,788.16
38.71,79.47,auto,583.17
29.27,71.61,auto,466.05
8.37,33.41,car,275.16
23.62,70.59,bike,311.69
46.18,102.43,bike,542.07
28.35,93.94,car,760.18
23.21,70.06,bike,314.87
