trip_id,city,distance_km,duration_minutes,traffic_level,demand_factor,battery_health_percent,energy_consumption_kwh,route_difficulty,vehicle_type,time_of_day,day_of_week,weather_condition,temperature_celsius,humidity_percent,driver_rating,surge_multiplier,historical_pricing_factor,is_holiday,charging_stations_nearby,user_type,fare_amount_inr
EV000018,Bangalore,48.29,114,76,0.9701999999999998,88,5.62,8,Premium,Day_Time,Sunday,Storm,26,99,4.4,2,0.97,0,2,Premium,3415.45
EV000019,Pune,31.11,109.7,80,1.75,79,8.03,7,Compact,Night,Monday,Hot,18,37,3.8,1,1.08,0,8,Regular,642.31
EV000020,Chennai,14.95,37.8,60,2.4102000000000006,79,7.72,2,Compact,Evening_Peak,Saturday,Hot,21,73,4.4,1.71,0.96,0,1,Regular,449.83
EV000021,Mumbai,4,12.3,60,0.754,95,4.86,8,Premium,Evening_Peak,Wednesday,Foggy,18,34,3.9,1,0.92,0,9,Regular,77.47
EV000022,Chennai,45.22,131.2,43,1.19,94,5.76,7,Sedan,Day_Time,Friday,Rainy,24,68,3.6,1,1.06,0,6,Premium,593.25
EV000023,Bangalore,13.68,67.2,60,3.701879999999999,85,6.34,4,Sedan,Evening_Peak,Sunday,Rainy,23,78,4,2.38,1.07,0,10,Regular,1740.49
EV000024,Mumbai,3.19,14.4,85,4.277,98,5.05,3,Premium,Evening_Peak,Friday,Rainy,19,82,4.8,2.11,1.04,0,7,Premium,1198.78
EV000025,Chennai,28.39,95.8,60,3.276,92,4.55,6,Premium,Morning_Peak,Saturday,Foggy,28,96,4.9,2.43,0.92,0,2,Premium,5279.59
EV000026,Pune,22.15,102.1,60,1.6380000000000001,100,4,2,SUV,Evening_Peak,Thursday,Hot,39,89,4.2,1,0.92,0,6,Premium,587.62
EV000027,Chennai,31.86,146.7,41,2.324,77,5.58,4,Sedan,Day_Time,Monday,Storm,15,97,3.9,2.49,1.02,0,7,Regular,1821.82
EV000028,Pune,26.25,73.9,26,0.9939999999999999,77,6.26,8,Compact,Night,Tuesday,Storm,37,96,4.1,2,1.03,0,3,Premium,663.42
EV000029,Chennai,42.74,174.2,6,2.52,100,5.05,1,Sedan,Night,Sunday,Clear,16,80,4,2.21,0.9,0,3,Regular,2116.03
EV000030,Bangalore,29.31,97.2,60,1.1700000000000002,86,4.01,10,Premium,Morning_Peak,Sunday,Foggy,35,58,4.3,1,0.95,0,10,Regular,839
EV000031,Bangalore,43.45,171.6,67,1.1349,81,6.4,2,Compact,Morning_Peak,Saturday,Foggy,19,75,4.1,1,0.93,0,1,Regular,506.2
EV000032,Mumbai,27.24,85.7,50,2.025,87,6.29,5,Sedan,Day_Time,Saturday,Foggy,33,97,3.9,2.42,0.92,0,1,Regular,1749.71
EV000033,Bangalore,5.12,11,60,4.7138,72,7.02,5,Sedan,Morning_Peak,Friday,Storm,23,60,4.5,2,0.91,0,5,Premium,737.57
EV000034,Chennai,50.05,215.3,60,1.3104000000000002,73,6.41,8,Sedan,Morning_Peak,Saturday,Hot,39,61,4,1,1.08,0,7,Premium,652.85
EV000035,Mumbai,47.66,101.4,30,1.69,93,4.67,8,Premium,Night,Friday,Foggy,27,47,4.2,1,1.09,0,1,Premium,2922.04
EV000036,Chennai,4.62,14.9,74,2.54,70,4.78,7,SUV,Early_Morning,Wednesday,Clear,37,40,4.9,2.19,0.95,0,3,Premium,318.84
EV000037,Chennai,6.14,16,11,0.96,91,6.29,3,Compact,Night,Friday,Foggy,28,71,4.8,1,0.97,0,7,Premium,63.77
EV000038,Chennai,43.67,100.9,85,1.703,87,5.81,10,SUV,Evening_Peak,Friday,Foggy,28,74,4.8,1,1,1,10,Regular,1502.78
EV000039,Bangalore,21.44,94.7,60,4.4408,88,6.04,5,Compact,Evening_Peak,Tuesday,Rainy,33,48,5,2.22,0.97,0,1,Regular,3001.98
EV000040,Bangalore,44.31,166.5,60,3.6270000000000002,98,6.28,8,Sedan,Evening_Peak,Tuesday,Hot,19,93,4.3,1.84,1.02,0,9,Premium,5611.32
EV000041,Delhi,8.36,34.7,49,1.08,85,7.07,5,Sedan,Night,Saturday,Hot,36,33,4.5,1,1.05,0,6,Premium,159.63
EV000042,Chennai,27.75,133.1,49,4.186,81,4.61,5,SUV,Early_Morning,Thursday,Rainy,38,52,4.5,2.47,0.9,0,3,Premium,3520.66
EV000043,Bangalore,6.24,22.9,32,2.17,84,4.56,8,Premium,Early_Morning,Tuesday,Rainy,30,39,4.8,2.5,0.97,0,2,Regular,777.66
EV000044,Delhi,24,106.8,29,3.8219999999999996,90,6.67,4,Sedan,Night,Tuesday,Rainy,36,66,4.9,1.67,0.98,0,7,Regular,2492.99
EV000045,Mumbai,47.25,216.1,66,3.445,85,4.68,4,Premium,Evening_Peak,Monday,Hot,17,89,4.9,1.57,0.93,0,8,Premium,7827.31
EV000046,Bangalore,45.54,144.4,70,0.65,74,4.88,9,Premium,Morning_Peak,Tuesday,Hot,23,37,3.8,1,0.95,0,8,Premium,607.82
EV000047,Pune,17.67,64.3,7,1.5372,87,3.92,2,SUV,Early_Morning,Saturday,Storm,32,84,4.6,2,0.91,0,6,Premium,721.4
EV000048,Bangalore,45.31,199.5,46,3.178,82,7.31,4,Compact,Day_Time,Monday,Rainy,16,67,4.3,2.24,1.05,0,2,Premium,4306.17
EV000049,Chennai,36.48,122.5,43,1.12,93,4.07,1,SUV,Day_Time,Friday,Foggy,15,82,5,1,1.04,0,10,Premium,701.81
EV000050,Delhi,29.37,91.9,60,4.6956,96,7.33,9,Sedan,Evening_Peak,Friday,Storm,36,74,3.9,2.1,0.94,1,10,Regular,5653.66
EV000051,Bangalore,10.1,45.9,48,1.722,90,4.47,4,SUV,Early_Morning,Monday,Storm,16,75,3.7,2,0.95,0,6,Premium,612.08
EV000052,Bangalore,22.18,62.7,74,2.457,90,5.99,5,SUV,Morning_Peak,Wednesday,Rainy,28,99,4.5,2.09,1.1,0,4,Premium,3047.33
EV000053,Mumbai,42.2,167.5,4,1.4,95,5.71,5,Premium,Night,Thursday,Clear,34,53,4.3,1,0.97,0,7,Premium,1717.16
EV000054,Mumbai,38.83,149.8,56,2.64,77,6.96,5,Sedan,Early_Morning,Thursday,Hot,26,60,3.8,1.51,1.09,0,1,Regular,1906.69
EV000055,Pune,29.29,83,14,0.73,97,3.94,10,SUV,Early_Morning,Wednesday,Foggy,39,76,4.4,1,1.09,0,1,Premium,341.96
EV000056,Pune,9.99,20.1,87,1.65,77,7.81,1,Compact,Day_Time,Friday,Clear,19,54,3.9,1,1,0,1,Premium,147.44
EV000057,Mumbai,10.48,46.1,88,1.36,70,7.61,9,Sedan,Night,Tuesday,Foggy,15,96,4.8,1,1.07,0,4,Regular,324.01
EV000058,Mumbai,48.76,97.8,65,2.9250000000000003,80,5.48,9,Sedan,Morning_Peak,Saturday,Clear,36,93,4.3,1.56,0.95,0,7,Regular,3143.15
EV000059,Chennai,23.52,63.8,92,2.94,76,5.72,10,Premium,Night,Wednesday,Foggy,16,40,3.7,2.3,1.03,0,2,Premium,3569.93
EV000060,Mumbai,6.46,22.4,73,4.277,84,8.52,7,Compact,Morning_Peak,Tuesday,Rainy,30,30,4.6,2.29,0.9,0,5,Premium,963.57
EV000061,Chennai,9.79,36.4,22,1.0080000000000002,87,6.23,3,Sedan,Night,Saturday,Hot,31,66,4,1,0.91,0,1,Regular,90.39
EV000062,Chennai,48.49,117.6,24,2.9259999999999997,88,4.82,5,SUV,Early_Morning,Friday,Storm,24,98,3.8,2,1.09,0,5,Regular,3532.99
EV000063,Delhi,25.58,114.6,60,2.89926,98,6.46,4,Sedan,Morning_Peak,Saturday,Storm,19,78,5,2,0.96,0,4,Premium,3451.97
EV000064,Mumbai,11.58,48.9,36,1.21,87,6.89,2,Compact,Day_Time,Thursday,Clear,32,30,4.3,1,1.07,0,4,Regular,167.44
EV000065,Delhi,31.44,76.1,60,5.4054,85,5.38,5,Premium,Evening_Peak,Tuesday,Rainy,15,89,4.5,2.04,1.05,0,5,Regular,8640.64
EV000066,Bangalore,12.67,31.8,50,1.232,76,4.98,4,SUV,Day_Time,Wednesday,Storm,32,61,4.9,2,0.97,0,2,Premium,723.24
EV000067,Chennai,51.01,194.5,60,1.0530000000000002,76,4.27,10,Premium,Morning_Peak,Wednesday,Foggy,31,72,4.6,1,0.95,0,2,Premium,1068.07
EV000068,Pune,16.02,74.1,60,1.6380000000000001,90,5.99,3,Compact,Evening_Peak,Monday,Foggy,33,80,4.6,1,0.97,0,9,Regular,267.99
EV000069,Chennai,43.84,93.6,60,2.847,83,6.54,4,Sedan,Morning_Peak,Friday,Hot,33,45,4,1.81,1.07,0,9,Regular,2299.56
EV000070,Bangalore,30.72,62,17,3.2199999999999998,82,6.36,3,Compact,Early_Morning,Tuesday,Storm,24,71,4.2,2.02,1.06,0,1,Regular,2199.95
EV000071,Pune,27.48,80.9,47,1.708,77,5.83,2,Sedan,Day_Time,Friday,Rainy,18,53,4.3,1,1.07,0,3,Regular,500.24
EV000072,Chennai,16.01,79.9,60,0.6318,80,5.77,1,Premium,Evening_Peak,Sunday,Foggy,18,50,4.6,1,1.06,0,7,Regular,184.29
EV000073,Pune,29.36,120.7,60,4.55,73,3.37,6,SUV,Morning_Peak,Friday,Rainy,32,85,3.7,1.8,0.98,0,3,Premium,2941.83
EV000074,Bangalore,3.96,16.7,60,0.9009000000000001,76,6.02,4,Compact,Morning_Peak,Saturday,Clear,32,73,4.8,1,0.96,0,9,Regular,37.73
EV000075,Bangalore,40.65,159.5,23,2.8979999999999997,84,4.53,1,Premium,Early_Morning,Tuesday,Storm,33,49,3.7,2,0.98,0,5,Premium,4454.19
EV000076,Pune,22.47,99.4,8,2.94,99,5.62,9,SUV,Night,Thursday,Storm,23,30,5,2.28,1.07,0,9,Premium,4389.65
EV000077,Mumbai,22.12,102.6,87,2.4102000000000006,84,9.01,7,Sedan,Morning_Peak,Saturday,Hot,26,99,4,1.55,1.06,0,9,Premium,1558.76
EV000078,Delhi,16.42,76.7,71,3.01,79,5.52,1,Premium,Day_Time,Thursday,Rainy,25,79,3.9,2.32,1.08,0,8,Premium,2569.12
EV000079,Bangalore,19.62,77.5,60,4.6956,99,5.23,9,Sedan,Morning_Peak,Thursday,Rainy,36,61,4.9,2.02,1.05,0,7,Regular,4083.41
EV000080,Chennai,34.36,106.6,47,1.0779999999999998,76,5.76,7,Sedan,Day_Time,Friday,Rainy,15,89,4,1,1.09,0,7,Premium,386.8
EV000081,Pune,33.5,154.6,44,2.0538,96,7.72,10,Compact,Day_Time,Sunday,Storm,35,95,4.4,2.45,0.99,0,10,Regular,2332.57
EV000082,Mumbai,50.87,235.4,81,2.37,79,5.88,4,SUV,Day_Time,Tuesday,Hot,27,81,3.7,2.08,1.01,0,2,Regular,4004.89
EV000083,Bangalore,50.46,198.8,60,3.7346399999999997,97,5.61,7,Premium,Morning_Peak,Sunday,Storm,15,44,3.6,2,0.95,0,8,Regular,10861.6
EV000084,Bangalore,39.12,191.8,4,1.566,97,5.18,8,Sedan,Early_Morning,Saturday,Foggy,39,93,4,1,0.98,0,3,Premium,726.04
EV000085,Pune,27.14,133.9,34,0.7979999999999999,92,5.6,9,Premium,Early_Morning,Wednesday,Storm,15,44,4.1,2,1.03,0,9,Premium,1122.66
EV000086,Delhi,3.15,11.5,67,2.99,93,5.69,4,Compact,Day_Time,Tuesday,Foggy,32,52,3.7,2.44,0.97,1,5,Regular,260.83
EV000087,Pune,39.94,123.5,95,1.81,99,8.95,4,Compact,Night,Friday,Foggy,23,55,3.8,1,0.96,0,1,Regular,900.42
EV000088,Bangalore,6.71,28.9,49,3.346,70,5.93,3,Sedan,Day_Time,Wednesday,Storm,26,84,4.5,2,0.9,0,10,Premium,617.47
EV000089,Bangalore,17.91,53.4,99,1.484,86,7.5,1,Sedan,Day_Time,Thursday,Rainy,17,74,4.6,1,1.03,0,1,Premium,518.57
EV000090,Delhi,21.48,95.3,83,3.4579999999999993,76,8.17,10,Sedan,Evening_Peak,Monday,Storm,28,41,4.7,2,0.93,0,7,Premium,2733.75
EV000091,Bangalore,28.16,120.3,93,2.36,83,4.84,10,SUV,Early_Morning,Friday,Foggy,28,38,4.3,1.72,0.93,0,5,Regular,2073.66
EV000092,Pune,40.72,203.4,67,2.99,81,7.79,7,Sedan,Early_Morning,Wednesday,Hot,25,78,4.4,1.81,1.05,1,2,Premium,3124.13
EV000093,Pune,33.49,91.2,39,1.827,71,6.56,4,Compact,Early_Morning,Saturday,Rainy,36,70,4.3,1,1.09,0,7,Premium,512.71
EV000094,Bangalore,36.3,75.9,60,1.9474000000000002,74,6.84,2,Sedan,Evening_Peak,Thursday,Storm,36,37,4.8,2,1.02,0,5,Regular,2371.21
EV000095,Mumbai,20.59,57.4,91,3.6959999999999997,83,7.37,4,Compact,Day_Time,Monday,Rainy,37,89,4.6,2.36,1,0,4,Regular,2801.52
EV000096,Bangalore,14.25,32.5,75,1.01,94,7.56,9,Compact,Day_Time,Monday,Clear,16,95,4.5,1,1.04,0,1,Regular,227.86
EV000097,Bangalore,20.66,58.3,97,2.3489999999999998,100,7.13,8,Sedan,Night,Sunday,Foggy,19,34,4.5,2.16,1.02,0,9,Regular,2855.73
EV000098,Bangalore,24.76,59.3,60,4.55,92,5.32,5,SUV,Evening_Peak,Wednesday,Storm,16,47,4.1,2,1.05,0,9,Premium,6201.28
EV000099,Mumbai,30.78,121.6,12,0.9799999999999999,92,6.2,7,Premium,Night,Tuesday,Storm,22,56,5,2,0.98,0,6,Regular,2401.4
EV000100,Pune,50.28,179.5,7,1.56,98,6.3,1,Sedan,Day_Time,Friday,Foggy,26,47,3.5,1,0.96,1,1,Regular,706.95
EV000101,Chennai,19.24,85.8,42,2.772,98,7.47,1,Sedan,Early_Morning,Thursday,Storm,32,48,3.9,2,0.98,0,10,Premium,1230.45
EV000102,Delhi,12.29,30.7,3,1.25,89,5.57,7,Premium,Day_Time,Wednesday,Foggy,17,34,4.1,1,0.98,0,1,Regular,273.16
EV000103,Mumbai,43.88,216.2,60,2.6,86,5.77,2,Sedan,Morning_Peak,Thursday,Hot,36,53,4.9,1.91,1.09,0,5,Premium,4590.85
EV000104,Mumbai,36.38,133.5,59,2.043,80,5.23,6,Premium,Day_Time,Saturday,Hot,37,71,4.6,2.17,0.95,0,9,Regular,4122.75
EV000105,Chennai,27.68,138.3,12,1.1199999999999999,79,4.02,5,SUV,Day_Time,Friday,Rainy,16,82,4.6,1,1.02,0,5,Premium,404.07
EV000106,Pune,27.15,99,95,4.116,88,6.92,3,Premium,Night,Tuesday,Rainy,36,79,4.1,2.19,0.93,0,9,Premium,7025.74
EV000107,Mumbai,5.87,28.8,60,1.6965000000000001,86,5.8,2,Compact,Morning_Peak,Saturday,Foggy,32,38,4.8,1,0.98,0,5,Premium,157.29
EV000108,Pune,23.01,61.8,81,2.19492,89,4.64,5,SUV,Evening_Peak,Sunday,Rainy,15,47,5,2.45,1.01,0,9,Premium,2776.65
EV000109,Delhi,48.1,233.6,21,1.77,97,6.7,7,Compact,Early_Morning,Tuesday,Clear,36,74,4,1,1.09,1,3,Premium,1032.03
EV000110,Delhi,29.44,65.4,89,2.2386,87,4.12,7,SUV,Evening_Peak,Monday,Rainy,37,78,4.1,1.59,1.08,1,2,Premium,2646.22
EV000111,Mumbai,23.15,89,25,1.2348,89,6.61,8,Compact,Day_Time,Saturday,Storm,20,89,4.1,2,0.94,0,5,Premium,870.34
EV000112,Pune,33.94,118.4,60,2.21,96,7.47,5,Sedan,Evening_Peak,Friday,Hot,28,82,3.7,1.88,1.06,0,2,Premium,1838.15
EV000113,Mumbai,9.47,20.9,64,3.848,88,6.1,4,Sedan,Evening_Peak,Tuesday,Clear,38,97,4.9,2.46,0.98,0,1,Premium,1705.92
EV000114,Bangalore,19.84,83.8,17,1.89,99,7.98,3,Compact,Day_Time,Friday,Storm,35,51,3.9,2,1.06,1,3,Premium,1330.92
EV000115,Delhi,3.31,15.4,85,1.827,90,5.2,8,Premium,Early_Morning,Sunday,Foggy,30,61,4.2,1,0.99,0,3,Premium,153.35
EV000116,Chennai,6.5,21.7,27,2.912,93,5.2,6,SUV,Night,Tuesday,Rainy,19,74,3.8,2.05,1.02,0,1,Premium,639.81
EV000117,Pune,4.13,16.1,60,2.6208,100,6.38,2,Compact,Morning_Peak,Saturday,Storm,23,87,4.2,2,0.93,0,4,Premium,306.93
EV000118,Delhi,26.7,131,56,0.938,89,4.6,5,SUV,Night,Tuesday,Rainy,15,74,5,1,1.09,1,7,Premium,888.74
EV000119,Mumbai,2.5,5.9,58,2.9358,90,5.08,8,SUV,Early_Morning,Saturday,Rainy,29,74,3.6,1.74,1.09,0,2,Premium,267.39
EV000120,Delhi,48.11,112.2,60,2.3400000000000003,82,5.74,10,Sedan,Morning_Peak,Friday,Hot,30,64,3.8,2.11,1.06,0,3,Premium,3299.98
EV000121,Pune,25.53,121.3,60,3.5360000000000005,76,7.1,6,Compact,Morning_Peak,Thursday,Clear,30,53,3.5,1.61,0.99,0,1,Regular,1030.76
EV000122,Pune,21.25,55.1,21,2.232,75,5.49,5,Sedan,Early_Morning,Sunday,Clear,30,52,3.8,2.44,0.96,0,8,Premium,864.03
EV000123,Delhi,7.16,16.5,81,1.67,72,7.01,4,Premium,Early_Morning,Friday,Hot,32,83,4.7,1,1.09,0,8,Premium,261.6
EV000124,Bangalore,41.3,104.9,60,0.8840000000000001,92,4.04,1,SUV,Evening_Peak,Monday,Hot,21,64,3.6,1,0.93,1,8,Regular,581.54
EV000125,Chennai,38.42,156.5,85,1.94,84,6.39,5,Premium,Early_Morning,Thursday,Hot,25,53,3.8,1,1.02,0,4,Regular,1154.75
EV000126,Pune,21.64,102.2,50,0.742,74,7.67,3,Compact,Early_Morning,Tuesday,Storm,35,32,4.1,2,0.93,0,7,Regular,261.33
EV000127,Mumbai,30.56,107.3,21,1.22,93,5.83,8,SUV,Day_Time,Tuesday,Hot,38,78,4.9,1,0.91,1,2,Regular,802.15
EV000128,Mumbai,12.59,39.4,60,1.8746,74,4.05,6,SUV,Evening_Peak,Friday,Storm,21,69,4.7,2,1.07,0,1,Premium,1287.45
EV000129,Chennai,17.85,79.3,60,3.146,94,4.32,10,SUV,Morning_Peak,Monday,Hot,36,55,3.6,2.46,0.94,0,6,Regular,1755.41
EV000130,Chennai,2.86,11.6,60,2.6091,86,6.84,8,Compact,Evening_Peak,Saturday,Foggy,28,52,4.9,1.97,0.99,0,4,Regular,147.69
EV000131,Mumbai,25.26,91,94,1.8954000000000004,89,6.86,8,Compact,Morning_Peak,Saturday,Foggy,21,52,4.8,1,0.98,0,2,Regular,822.37
EV000132,Bangalore,46.07,207.2,60,3.7310000000000003,94,5.94,3,Compact,Evening_Peak,Wednesday,Foggy,32,65,3.6,2.06,1.09,0,8,Premium,4631.94
EV000133,Bangalore,51.59,185.3,3,3.5699999999999994,88,5.53,6,Premium,Day_Time,Monday,Rainy,39,44,3.9,2.14,1.09,0,6,Premium,8912.1
EV000134,Chennai,2.12,4.7,65,2.88,98,6.41,7,Compact,Day_Time,Wednesday,Foggy,38,75,4,1.92,1.01,0,1,Regular,115.09
EV000135,Delhi,22.93,82.7,99,1.431,92,5.38,3,SUV,Night,Sunday,Foggy,15,78,3.7,1,1,0,1,Premium,736.04
EV000136,Pune,34.34,134.9,0,1.3579999999999999,100,3.82,8,SUV,Early_Morning,Wednesday,Storm,23,64,4.5,2,1.03,0,7,Premium,1676.56
EV000137,Pune,24.09,88,60,2.9379999999999997,72,5.45,4,Sedan,Evening_Peak,Thursday,Foggy,19,65,4.3,2.46,1.06,0,7,Regular,1902.06
EV000138,Mumbai,8.44,20,60,1.482,70,4.93,4,SUV,Evening_Peak,Monday,Hot,28,94,3.7,1,0.94,0,5,Regular,154.11
EV000139,Bangalore,32.01,133.7,60,3.276,80,6.31,3,Premium,Evening_Peak,Saturday,Hot,22,87,4.7,1.63,1.03,1,9,Premium,5178.48
EV000140,Mumbai,22.9,53.3,96,2.03,80,7.6,6,Compact,Night,Monday,Clear,20,66,4.9,2.06,0.92,1,7,Regular,1824.3
EV000141,Pune,14.05,52.1,75,1.63,95,6.47,7,SUV,Early_Morning,Tuesday,Hot,33,53,4.7,1,0.95,0,10,Regular,371.85
EV000142,Bangalore,34.42,79.2,92,2.2428,94,6.01,6,Sedan,Night,Sunday,Rainy,39,34,4.4,2.24,1.1,0,6,Premium,4936.34
EV000143,Mumbai,45.53,175.3,35,4.088,94,8.03,4,Compact,Early_Morning,Thursday,Storm,32,84,4.6,2,1.05,0,2,Premium,6920.15
EV000144,Pune,29.85,112.1,74,1.2557999999999998,79,8.33,5,Compact,Morning_Peak,Thursday,Storm,30,72,4.8,2,1.03,0,5,Regular,1025.23
EV000145,Chennai,42.4,164.5,60,3.3087600000000004,100,4.03,3,SUV,Evening_Peak,Saturday,Storm,31,74,3.7,2,0.91,0,7,Premium,4272.03
EV000146,Delhi,19.32,51.8,60,1.4742000000000002,74,5.02,6,Sedan,Evening_Peak,Monday,Rainy,27,58,4.9,1,0.9,0,2,Regular,373.88
EV000147,Chennai,32.7,94.5,8,0.93,87,6.83,9,Sedan,Early_Morning,Monday,Hot,21,79,4.6,1,0.92,1,9,Regular,281.45
EV000148,Delhi,26.39,126,31,1.9879999999999998,70,5.25,3,SUV,Night,Thursday,Storm,16,41,4.4,2,0.9,0,10,Regular,1586.1
EV000149,Chennai,11.57,49.8,5,0.7434,85,5.42,6,Sedan,Day_Time,Sunday,Storm,33,63,4.8,2,1,0,3,Regular,202.43
EV000150,Chennai,27.67,80.5,81,3.1590000000000003,83,7.81,10,Premium,Morning_Peak,Tuesday,Hot,17,63,4.5,2.23,0.91,0,4,Regular,3579.72
EV000151,Chennai,21.31,61.9,60,2.4050000000000002,88,5.34,9,Sedan,Morning_Peak,Monday,Clear,25,94,4.5,2.15,0.91,0,4,Regular,1121.17
EV000152,Mumbai,17.29,46.6,69,1.61,70,7.33,8,Compact,Day_Time,Wednesday,Clear,21,79,4.7,1,0.91,0,2,Premium,348.11
EV000153,Bangalore,25.39,111.1,69,2.17,83,3.85,5,SUV,Day_Time,Thursday,Storm,16,91,4.1,2.3,1.08,0,10,Premium,3291.87
EV000154,Delhi,16.71,38.4,34,2.556,80,4.85,9,Premium,Early_Morning,Sunday,Clear,24,80,4.9,1.93,1.06,0,9,Regular,1666.67
EV000155,Mumbai,46.89,100.2,3,0.8119999999999999,81,5.91,6,Premium,Early_Morning,Monday,Storm,15,70,4.8,2,1.08,0,7,Regular,2114.11
EV000156,Mumbai,22.28,71.9,81,0.64,91,4.09,2,SUV,Day_Time,Thursday,Clear,25,32,4.9,1,1,0,4,Premium,377.29
EV000157,Chennai,36.28,86.1,91,0.56,74,4.33,7,SUV,Day_Time,Wednesday,Foggy,38,58,4.5,1,1.02,0,6,Regular,298.33
EV000158,Pune,6.88,24.8,73,2.061,77,5.93,7,Premium,Night,Sunday,Clear,23,87,5,2.2,0.95,0,3,Regular,741.99
EV000159,Pune,36.78,154.5,72,1.52,96,4.83,5,SUV,Day_Time,Tuesday,Hot,23,86,4,1,0.97,0,2,Regular,850.59
EV000160,Pune,14.27,57.7,53,2.91,96,5.19,7,Premium,Night,Thursday,Foggy,37,68,4.1,1.87,1.01,0,8,Regular,2108.99
EV000161,Delhi,47.74,146.7,60,2.1658,90,6.46,5,Premium,Evening_Peak,Friday,Storm,35,49,4.3,2.09,1.09,0,4,Regular,6817.13
EV000162,Delhi,47.6,213.2,60,1.93284,80,7.6,10,Compact,Evening_Peak,Sunday,Storm,31,34,3.7,2,0.94,0,9,Regular,1985.33
EV000163,Delhi,17.45,47.9,60,1.508,74,4.02,1,SUV,Evening_Peak,Thursday,Hot,23,50,4.4,1,1.04,0,10,Regular,349.94
EV000164,Pune,9.28,26.2,0,2.55,100,5.02,10,Premium,Night,Thursday,Foggy,36,91,4.8,1.96,0.91,0,1,Regular,1058.46
EV000165,Bangalore,36.21,97.3,60,0.7722000000000001,73,5.09,3,Premium,Evening_Peak,Sunday,Foggy,36,45,3.6,1,1.02,0,9,Premium,505.95
EV000166,Bangalore,36.43,114,60,4.53726,71,6.78,10,Compact,Morning_Peak,Sunday,Storm,27,64,3.6,2.24,1.06,0,8,Regular,4310.23
EV000167,Chennai,22.5,96.2,60,2.4336,94,6.24,2,Compact,Evening_Peak,Sunday,Foggy,21,79,5,2.34,0.93,0,2,Premium,1449.96
EV000168,Pune,50.48,200.4,60,2.9835,98,4.12,9,Premium,Evening_Peak,Sunday,Foggy,39,97,3.8,2.46,0.91,0,1,Premium,8204.98
